Date,Open,High,Low,Close,Volume
2017-10-23,2523.92,2543.28,2523.92,2543.28,30306300
2017-10-24,2539.21,2539.21,2508.32,2522.59,30225200
2017-10-25,2520.95,2541.48,2520.95,2541.48,27669200
2017-10-26,2540.61,2555.15,2537.7,2553.99,33385600
2017-10-27,2551.08,2551.31,2534.23,2535.36,31090200
2017-10-30,2529.21,2529.21,2456.04,2470.01,36797900
2017-10-31,2466.99,2491.87,2466.99,2491.87,26443000
2017-11-01,2491.13,2498.44,2489.1,2493.5,28882600
2017-11-02,2490.12,2490.12,2462.23,2462.26,29609500
2017-11-03,2459.06,2461.82,2430.4,2442.14,28955300
2017-11-06,2441.92,2463.83,2434.69,2463.83,27747300
2017-11-07,2461.62,2470.05,2453.89,2470.05,30244900
2017-11-08,2468.31,2488.56,2468.31,2479.06,32911200
2017-11-09,2477.95,2494.75,2477.95,2494.75,31300200
2017-11-10,2492.64,2499.41,2487.0,2497.0,32573500
2017-11-13,2496.88,2496.88,2489.68,2493.26,33725300
2017-11-14,2491.97,2491.97,2468.08,2473.54,35575300
2017-11-15,2468.44,2470.68,2450.65,2455.59,29232400
2017-11-16,2452.15,2459.55,2446.42,2446.56,28497700
2017-11-17,2442.05,2442.05,2347.0,2347.6,38613000
2017-11-20,2333.76,2348.07,2287.49,2348.07,27892500
2017-11-21,2341.79,2359.18,2330.52,2343.48,26776100
2017-11-22,2343.13,2348.27,2325.4,2338.92,26352700
2017-11-23,2337.41,2337.41,2290.9,2290.9,28369500
2017-11-24,2284.17,2298.74,2282.54,2296.68,24476600
2017-11-27,2292.15,2295.03,2272.08,2273.16,22687900
2017-11-28,2270.51,2304.06,2270.51,2304.06,22412100
2017-11-29,2305.19,2309.99,2289.43,2309.99,28351600
2017-11-30,2307.68,2314.0,2298.49,2303.69,25228200
2017-12-01,2301.06,2326.25,2301.06,2326.25,24855100
2017-12-04,2322.25,2322.25,2293.14,2293.68,26369700
2017-12-05,2287.15,2287.71,2219.35,2230.32,30968900
2017-12-06,2224.05,2249.58,2206.8,2249.58,24662900
2017-12-07,2244.55,2258.43,2240.65,2248.65,21947000
2017-12-08,2245.16,2273.54,2245.16,2272.41,23371400
2017-12-11,2272.58,2291.19,2272.58,2291.19,27826300
2017-12-12,2289.63,2289.63,2265.03,2265.03,27594000
2017-12-13,2261.36,2280.38,2261.36,2280.38,23756800
2017-12-14,2278.56,2283.69,2272.44,2283.68,27507600
2017-12-15,2280.81,2285.84,2272.19,2282.35,30250000
2017-12-18,2279.29,2280.5,2260.85,2268.11,28104700
2017-12-19,2266.43,2281.41,2266.43,2281.41,25982600
2017-12-20,2279.91,2279.91,2255.54,2256.99,28208200
2017-12-21,2253.91,2261.87,2233.12,2257.56,28625100
2017-12-22,2253.91,2258.95,2251.77,2253.39,25413700
2017-12-25,2249.9,2249.9,2217.78,2222.84,29729900
2017-12-26,2218.8,2242.69,2215.78,2242.69,29102800
2017-12-27,2240.62,2243.88,2232.99,2233.2,31188900
2017-12-28,2229.62,2245.64,2227.1,2242.06,32683400
2017-12-29,2240.84,2258.28,2240.84,2258.28,28877500
2018-01-02,2259.28,2277.13,2257.18,2277.13,32736300
2018-01-03,2275.52,2295.8,2275.52,2295.8,41504600
2018-01-04,2292.58,2297.09,2292.03,2296.33,38873800
2018-01-05,2292.85,2299.27,2290.82,2296.96,37017500
2018-01-08,2293.9,2296.61,2282.71,2296.61,37151500
2018-01-09,2294.98,2295.62,2288.78,2293.19,34319300
2018-01-10,2291.97,2291.97,2259.34,2273.82,36999800
2018-01-11,2269.3,2286.59,2263.22,2285.99,33578600
2018-01-12,2282.6,2284.79,2272.8,2275.2,34535600
2018-01-15,2268.77,2268.77,2215.08,2218.63,39080400
2018-01-16,2215.03,2231.84,2215.03,2231.84,32037400
2018-01-17,2228.5,2232.99,2204.43,2232.69,34399300
2018-01-18,2229.61,2240.98,2229.61,2240.19,28681200
2018-01-19,2237.89,2246.3,2232.04,2234.66,31979300
2018-01-22,2229.01,2245.23,2216.88,2245.23,31555600
2018-01-23,2242.57,2250.1,2242.57,2248.21,30412200
2018-01-24,2245.59,2256.7,2234.02,2256.7,33127400
2018-01-25,2253.57,2267.6,2253.57,2254.0,36888500
2018-01-26,2248.56,2253.38,2242.96,2244.95,31012400
2018-01-29,2240.95,2241.48,2212.41,2215.26,33615900
2018-01-30,2212.17,2217.03,2207.91,2211.81,26930400
2018-01-31,2202.33,2202.33,2150.36,2155.03,36961100
2018-02-01,2148.55,2150.44,2061.59,2061.59,41811500
2018-02-02,2041.56,2043.5,2000.04,2038.24,35706800
2018-02-05,2013.01,2031.74,2013.01,2025.86,26608000
2018-02-06,1994.36,1996.85,1921.87,1922.26,34980900
2018-02-07,1948.99,1952.93,1903.95,1931.86,31991300
2018-02-08,1926.17,1957.6,1926.17,1957.6,26119700
2018-02-09,1916.69,1927.35,1885.91,1904.04,31261800
2018-02-12,1911.31,1954.35,1911.31,1950.91,26272300
2018-02-13,1955.77,1965.93,1950.26,1951.06,25681900
2018-02-14,1948.34,1957.71,1944.67,1957.71,18559800
2018-02-22,1964.67,1987.25,1964.67,1987.25,23125200
2018-02-23,1987.32,1994.66,1982.01,1994.66,25100800
2018-02-26,2001.26,2036.7,2001.26,2036.7,34337700
2018-02-27,2034.67,2042.6,2034.67,2041.18,33234000
2018-02-28,2030.61,2048.26,2019.63,2045.3,30590500
2018-03-01,2035.96,2072.53,2035.96,2072.53,34330800
2018-03-02,2061.74,2075.04,2061.74,2063.88,34671200
2018-03-05,2064.31,2075.92,2062.96,2075.92,30462900
2018-03-06,2077.3,2099.01,2077.3,2099.01,37002900
2018-03-07,2096.07,2100.29,2087.65,2089.2,34181700
2018-03-08,2086.66,2110.05,2086.66,2110.05,35177100
2018-03-09,2110.68,2142.07,2110.68,2142.07,44642500
2018-03-12,2147.52,2174.53,2147.52,2174.53,50065300
2018-03-13,2171.44,2179.74,2162.85,2165.22,46056900
2018-03-14,2159.18,2164.1,2145.3,2145.3,40985300
2018-03-15,2134.72,2134.72,2102.34,2124.96,41769000
2018-03-16,2124.12,2138.87,2124.12,2126.17,35729400
2018-03-19,2124.19,2140.05,2118.5,2135.03,33798600
2018-03-20,2122.07,2143.38,2118.24,2143.38,40820000
2018-03-21,2144.9,2162.46,2132.17,2132.58,46966300
2018-03-22,2130.43,2146.81,2122.14,2137.79,41434700
2018-03-23,2080.19,2092.08,2000.8,2020.31,60330500
2018-03-26,1988.87,2045.85,1960.24,2045.84,42642900
2018-03-27,2060.92,2101.64,2060.92,2099.63,47887100
2018-03-28,2078.57,2104.27,2078.57,2093.5,44041400
2018-03-29,2098.3,2113.74,2095.54,2113.57,40747000
2018-03-30,2117.69,2145.26,2117.69,2145.26,45195500
2018-04-02,2150.4,2164.64,2149.57,2153.1,48929100
2018-04-03,2124.73,2133.97,2122.2,2133.58,43951100
2018-04-04,2141.47,2150.23,2127.29,2129.42,43866200
2018-04-09,2119.79,2139.36,2104.28,2136.36,43215300
2018-04-10,2134.74,2137.21,2112.67,2136.54,45231500
2018-04-11,2140.27,2158.84,2140.27,2155.54,45406200
2018-04-12,2151.67,2158.04,2141.02,2146.03,43126800
2018-04-13,2150.6,2154.5,2134.99,2137.17,37698400
2018-04-16,2131.6,2135.04,2108.15,2121.98,36750500
2018-04-17,2124.24,2127.4,2072.81,2072.81,42041000
2018-04-18,2079.55,2094.8,2041.93,2092.31,39175600
2018-04-19,2087.57,2105.31,2087.57,2095.82,36857800
2018-04-20,2086.33,2088.56,2047.53,2047.53,37258900
2018-04-23,2043.77,2053.76,2014.36,2032.88,31283900
2018-04-24,2031.88,2080.19,2031.88,2080.19,35604200
2018-04-25,2072.43,2092.06,2072.43,2091.58,36037000
2018-04-26,2086.51,2086.51,2049.98,2049.98,36781400
2018-04-27,2052.94,2057.88,2043.77,2051.62,34582400
2018-05-02,2048.29,2056.76,2029.07,2040.44,35582200
2018-05-03,2035.99,2061.05,2014.47,2061.05,35898400
2018-05-04,2056.81,2070.66,2056.81,2061.52,35415400
2018-05-07,2062.38,2102.41,2062.38,2102.41,41569500
2018-05-08,2104.17,2118.92,2104.17,2118.92,45415700
2018-05-09,2115.96,2122.97,2111.19,2121.36,45135100
2018-05-10,2122.45,2137.02,2122.45,2137.02,48751300
2018-05-11,2136.69,2136.69,2110.17,2110.17,44642700
2018-05-14,2103.3,2107.51,2089.13,2093.49,37171800
2018-05-15,2092.33,2118.72,2088.71,2118.72,36755600
2018-05-16,2112.49,2123.51,2109.31,2109.69,40244200
2018-05-17,2107.12,2111.97,2103.53,2107.43,38781300
2018-05-18,2104.74,2118.07,2097.13,2118.07,41100100
2018-05-21,2124.94,2149.56,2124.94,2148.36,48515600
2018-05-22,2145.5,2159.38,2142.21,2159.38,46794600
2018-05-23,2152.37,2156.15,2138.13,2138.13,46576800
2018-05-24,2134.68,2144.97,2134.68,2139.13,40740600
2018-05-25,2136.65,2138.27,2121.06,2123.6,42475400
2018-05-28,2121.11,2121.63,2102.42,2106.41,42909000
2018-05-29,2099.82,2113.85,2086.13,2086.36,42789300
2018-05-30,2055.36,2055.36,2003.0,2003.42,49644900
2018-05-31,2016.31,2041.56,2012.05,2041.56,40101100
2018-06-01,2033.38,2047.78,2009.72,2021.73,38965400
2018-06-04,2023.99,2025.86,2010.01,2016.99,33494100
2018-06-05,2016.38,2049.46,2016.38,2049.46,36149500
2018-06-06,2048.21,2056.99,2047.12,2056.99,37663600
2018-06-07,2058.63,2058.63,2037.67,2038.1,37508200
2018-06-08,2033.77,2033.77,2002.13,2017.47,36137100
2018-06-11,2010.44,2014.03,1995.05,1999.67,39263200
2018-06-12,1997.04,2010.28,1971.3,2010.28,44018600
2018-06-13,2004.74,2004.74,1972.39,1972.4,43456800
2018-06-14,1963.45,1984.38,1961.59,1966.88,39162200
2018-06-15,1964.07,1968.18,1906.1,1910.93,45495800
2018-06-19,1877.65,1877.65,1756.61,1771.68,54389800
2018-06-20,1755.7,1805.15,1752.8,1797.34,49247800
2018-06-21,1793.02,1802.91,1746.84,1746.84,49006200
2018-06-22,1732.18,1774.46,1732.18,1773.16,40796000
2018-06-25,1786.57,1794.17,1774.68,1774.83,39371900
2018-06-26,1752.56,1797.76,1752.56,1797.76,41279300
2018-06-27,1797.41,1809.94,1787.89,1792.0,42182100
2018-06-28,1788.74,1802.27,1771.94,1772.01,41712500
2018-06-29,1770.05,1822.81,1769.51,1822.81,50003700
2018-07-02,1820.52,1827.76,1793.02,1802.5,49609200
2018-07-03,1802.06,1834.27,1787.23,1834.27,54273400
2018-07-04,1825.63,1825.63,1785.45,1794.89,49460700
2018-07-05,1787.34,1791.65,1740.87,1740.87,45805300
2018-07-06,1739.34,1765.71,1711.68,1746.11,50248500
2018-07-09,1745.9,1786.12,1745.9,1786.12,43380700
2018-07-10,1787.92,1806.43,1785.34,1806.43,46232400
2018-07-11,1782.28,1782.28,1742.66,1764.81,51861600
2018-07-12,1761.44,1813.31,1761.44,1809.37,57071400
2018-07-13,1807.66,1816.22,1805.44,1813.59,52509700
2018-07-16,1809.39,1815.41,1803.05,1815.41,47843500
2018-07-17,1813.06,1822.48,1801.58,1822.48,46926000
2018-07-18,1823.55,1833.38,1813.96,1813.96,52486300
2018-07-19,1809.9,1815.7,1785.32,1791.6,48052000
2018-07-20,1787.46,1810.14,1780.82,1808.78,44606600
2018-07-23,1801.03,1818.3,1800.44,1818.3,49872200
2018-07-24,1817.68,1847.25,1815.99,1847.25,59305300
2018-07-25,1846.74,1855.62,1845.73,1850.18,55917600
2018-07-26,1848.89,1854.69,1842.77,1846.29,63409800
2018-07-27,1843.63,1845.1,1834.31,1834.31,55596900
2018-07-30,1829.66,1829.66,1795.8,1803.5,51381500
2018-07-31,1799.23,1807.61,1796.62,1804.55,43756700
2018-08-01,1805.9,1814.95,1777.65,1777.65,47946600
2018-08-02,1770.13,1770.13,1687.83,1729.56,57551300
2018-08-03,1725.02,1733.6,1708.7,1708.7,41259400
2018-08-06,1701.79,1709.64,1672.65,1676.13,42609600
2018-08-07,1676.12,1721.21,1675.48,1721.21,46940900
2018-08-08,1718.7,1720.51,1694.4,1694.4,51942100
2018-08-09,1687.43,1738.61,1687.43,1732.96,55222500
2018-08-10,1730.92,1743.97,1728.79,1743.47,46778200
2018-08-13,1722.96,1747.14,1717.42,1747.14,42587500
2018-08-14,1744.57,1754.23,1741.96,1748.04,42561600
2018-08-15,1746.9,1746.9,1717.11,1717.11,43659100
2018-08-16,1698.08,1717.9,1691.24,1700.39,41801400
2018-08-17,1710.14,1712.44,1666.6,1667.43,39810600
2018-08-20,1663.55,1677.42,1642.86,1677.42,37335200
2018-08-21,1675.59,1696.11,1673.55,1695.45,37579900
2018-08-22,1691.64,1691.64,1675.04,1675.06,34768000
2018-08-23,1672.99,1693.01,1672.99,1687.84,34999300
2018-08-24,1685.35,1692.52,1678.97,1681.82,34316700
