Date,Close
2023-05-15,452.13
2023-05-16,450.96
2023-05-17,449.17
2023-05-18,448.5
2023-05-19,446.72
2023-05-22,448.43
2023-05-23,446.0
2023-05-24,448.87
2023-05-25,447.64
2023-05-26,445.28
2023-05-29,444.56
2023-05-30,443.77
2023-05-31,449.62
2023-06-01,449.23
2023-06-02,451.11
2023-06-05,446.31
2023-06-06,449.02
2023-06-07,449.29
2023-06-08,447.59
2023-06-09,450.88
2023-06-12,451.45
2023-06-13,453.21
2023-06-14,450.2
2023-06-15,446.32
2023-06-16,450.07
2023-06-19,450.33
2023-06-20,451.13
2023-06-21,449.97
2023-06-26,449.3
2023-06-27,449.25
2023-06-28,446.8
2023-06-29,447.09
2023-06-30,448.47
2023-07-03,449.5
2023-07-04,450.0
2023-07-05,450.74
2023-07-06,450.41
2023-07-07,449.92
2023-07-10,451.35
2023-07-11,450.29
2023-07-12,451.26
2023-07-13,454.9
2023-07-14,452.5
2023-07-17,454.15
2023-07-18,456.34
2023-07-19,462.17
2023-07-20,460.94
2023-07-21,458.33
2023-07-24,458.63
2023-07-25,455.58
2023-07-26,457.99
2023-07-27,458.85
2023-07-28,455.68
2023-07-31,455.35
2023-08-01,456.44
2023-08-02,456.81
2023-08-03,454.7
2023-08-04,454.02
2023-08-07,454.89
2023-08-08,454.84
2023-08-09,455.05
2023-08-10,453.62
2023-08-11,455.25
2023-08-14,455.95
2023-08-15,456.0
2023-08-16,456.79
2023-08-17,456.7
2023-08-18,456.1
2023-08-21,457.92
2023-08-22,457.82
2023-08-23,458.32
2023-08-24,459.7
2023-08-25,459.0
2023-08-28,459.14
2023-08-29,460.35
2023-08-30,461.96
2023-08-31,464.16
2023-09-01,463.79
2023-09-04,465.5
2023-09-05,465.85
2023-09-06,464.13
2023-09-07,464.38
2023-09-08,467.68
2023-09-11,468.09
2023-09-12,469.4
2023-09-13,470.21
2023-09-14,474.7
2023-09-15,469.6
2023-09-18,469.18
2023-09-19,471.26
2023-09-20,472.0
2023-09-21,472.83
2023-09-22,471.72
2023-09-25,475.73
2023-09-26,474.04
2023-09-27,462.68
2023-09-28,447.1
2023-10-09,438.0
2023-10-10,449.88
2023-10-11,450.42
2023-10-12,451.05
2023-10-13,453.99
2023-10-16,460.24
2023-10-17,462.61
